DBID,tau,taulb,tauub,sigma,sigmalb,sigmaub
70,0.0,0.0,0.0,0.0,0.0,0.0
98,0.0,0.0,0.0,0.0,0.0,0.0
233,0.0,0.0,0.0,0.0,0.0,0.0
1018,0.0,0.0,0.0,0.0,0.0,0.0
1310,0.0,0.0,0.0,0.0,0.0,0.0
1327,0.0,0.0,0.0,0.0,0.0,0.0
1540,0.0,0.0,0.0,0.0,0.0,0.0
1580,0.0,0.0,0.0,0.0,0.0,0.0
2113,0.0,0.0,0.0,0.0,0.0,0.0
2306,0.0,0.0,0.0,0.0,0.0,0.0
2401,0.0,0.0,0.0,0.0,0.0,0.0
2670,0.0,0.0,0.0,0.0,0.0,0.0
2764,0.0,0.0,0.0,0.0,0.0,0.0
2860,0.0,0.0,0.0,0.0,0.0,0.0
2866,0.0,0.0,0.0,0.0,0.0,0.0
2867,0.0,0.0,0.0,0.0,0.0,0.0
2953,0.0,0.0,0.0,0.0,0.0,0.0
3035,0.0,0.0,0.0,0.0,0.0,0.0
4370,0.0,0.0,0.0,0.0,0.0,0.0
4600,0.0,0.0,0.0,0.0,0.0,0.0
4671,0.0,0.0,0.0,0.0,0.0,0.0
5036,0.0,0.0,0.0,0.0,0.0,0.0
5158,0.0,0.0,0.0,0.0,0.0,0.0
5429,0.0,0.0,0.0,0.0,0.0,0.0
5524,0.0,0.0,0.0,0.0,0.0,0.0
5626,0.0,0.0,0.0,0.0,0.0,0.0
5871,0.0,0.0,0.0,0.0,0.0,0.0
5993,0.0,0.0,0.0,0.0,0.0,0.0
6433,0.0,0.0,0.0,0.0,0.0,0.0
7001,0.0,0.0,0.0,0.0,0.0,0.0
7838,0.0,0.0,0.0,0.0,0.0,0.0
8029,0.0,0.0,0.0,0.0,0.0,0.0
8442,0.0,0.0,0.0,0.0,0.0,0.0
9321,0.0,0.0,0.0,0.0,0.0,0.0
9330,0.0,0.0,0.0,0.0,0.0,0.0
9746,0.0,0.0,0.0,0.0,0.0,0.0
9836,0.0,0.0,0.0,0.0,0.0,0.0
9837,0.0,0.0,0.0,0.0,0.0,0.0
9872,0.0,0.0,0.0,0.0,0.0,0.0
10408,0.0,0.0,0.0,0.0,0.0,0.0
10579,0.0,0.0,0.0,0.0,0.0,0.0
11021,0.0,0.0,0.0,0.0,0.0,0.0
11906,0.0,0.0,0.0,0.0,0.0,0.0
12291,0.0,0.0,0.0,0.0,0.0,0.0
12317,0.0,0.0,0.0,0.0,0.0,0.0
12417,0.0,0.0,0.0,0.0,0.0,0.0
12529,0.0,0.0,0.0,0.0,0.0,0.0
13318,0.0,0.0,0.0,0.0,0.0,0.0
14323,0.0,0.0,0.0,0.0,0.0,0.0
14706,0.0,0.0,0.0,0.0,0.0,0.0
15195,0.0,0.0,0.0,0.0,0.0,0.0
16378,0.0,0.0,0.0,0.0,0.0,0.0
16411,0.0,0.0,0.0,0.0,0.0,0.0
16898,0.0,0.0,0.0,0.0,0.0,0.0
17732,0.0,0.0,0.0,0.0,0.0,0.0
18344,0.0,0.0,0.0,0.0,0.0,0.0
