DBID,tau,taulb,tauub,sigma,sigmalb,sigmaub
70,139.038878578,65.322960792,483.836063684,0.0108772820608,0.00836254380433,0.0139584034273
98,1247.07548548,594.431742768,2089.37888075,0.00943818420673,0.00795341957429,0.0114546427228
233,302.200017003,121.020705707,1234.2296253,0.0106458874031,0.0084119210773,0.0136395568039
1018,1302.75089608,546.389873406,2547.65943728,0.0129416124555,0.0113831107908,0.0147275496137
1310,589.50238406,176.982964063,1992.12495888,0.00439790342246,0.0033525950526,0.00576551237459
1327,866.663648128,325.911425471,2205.34698763,0.00989432758711,0.00853749044917,0.0116619688771
1540,1059.75577746,383.557568725,2347.35656243,0.00469862412207,0.00371424965948,0.00585946991603
1580,652.709307257,268.623611102,1978.42978087,0.015147514988,0.0131223187239,0.0175061677492
2113,1219.87575953,570.170647827,2069.33780977,0.00922335490907,0.0076151539405,0.0110932668967
2306,1031.14809481,387.920601541,2309.90171793,0.00955384772425,0.00743519778989,0.0124031752325
2401,572.997965451,207.622387872,1630.78249534,0.00471073577128,0.00383025269891,0.00571040296647
2670,1507.74776569,666.8075581,2696.94733374,0.00720799461323,0.00605744929457,0.00856647016696
2764,1502.68257348,669.714722534,2685.31898398,0.017314625498,0.0146027830641,0.0209262619574
2860,1315.96181164,495.07569061,2587.05856553,0.00888742393316,0.00750000181648,0.0106218490655
2866,45.0853170039,21.5928864376,114.959696006,0.0350464128475,0.0265071637746,0.044811178972
2867,1149.5521068,419.771966257,2445.46989689,0.00768250061403,0.00637859903996,0.00938202365116
2953,1294.77074858,478.465075422,2553.31373762,0.0126370409351,0.0101341792664,0.015790429352
3035,1174.58787669,454.780258651,2453.4262075,0.00346481976673,0.00264629944289,0.00454372967578
4370,283.756718366,116.40009061,1138.44183484,0.00665799871439,0.00511504474809,0.00889037125756
4600,726.222588805,272.927005621,1986.70787085,0.00623615650466,0.00513291543445,0.00760269107135
4671,965.224849234,338.291850226,2261.07805291,0.0169693582148,0.0132280363006,0.0214570257648
5036,652.197687139,197.725743344,2085.65201403,0.00985325434004,0.00788765979359,0.0124649982986
5158,431.203818469,192.941154767,1539.84773323,0.00987038530322,0.00836937751287,0.0115335273932
5429,1843.83276622,1025.10020041,2803.52845786,0.0079727886396,0.00675366424533,0.0094310811992
5524,1738.24454613,829.410283066,2830.18053713,0.0124570205822,0.0104882981415,0.0149242351399
5626,2102.69640997,1243.32241065,2961.68606293,0.00927811119239,0.00802739179041,0.0108471004275
5871,1204.63158738,478.98611519,2513.19699091,0.0128155209171,0.0108077196372,0.0153833473238
5993,1864.7289732,1038.27765439,2872.316644,0.0080921123766,0.00692833535301,0.00959636736679
6433,1912.41043554,1104.17526084,2791.92394344,0.00795871597422,0.00668670725879,0.00958919064331
7001,26.0423142902,14.3577345199,54.0697855067,0.012069810363,0.00924407573286,0.0153167830656
