DBID,tau,taulb,tauub,sigma,sigmalb,sigmaub,medsiglik,medtaulik,maxlik,taumaxlik,sigmaxlik
70,139.038878578,65.322960792,483.836063684,0.0108772820608,0.00836254380433,0.0139584034273,144.277815639,146.903560428,147.987574929,68.5821662319,0.0121333727847
98,1247.07548548,594.431742768,2089.37888075,0.00943818420673,0.00795341957429,0.0114546427228,128.268798191,129.028651589,130.046432676,702.471286116,0.00874672696075
233,302.200017003,121.020705707,1234.2296253,0.0106458874031,0.0084119210773,0.0136395568039,127.920614093,124.862791968,128.220901346,165.229067873,0.00989707276793
1018,1302.75089608,546.389873406,2547.65943728,0.0129416124555,0.0113831107908,0.0147275496137,152.57613355,151.384577663,154.264082602,469.167813349,0.0129622849867
1310,589.50238406,176.982964063,1992.12495888,0.00439790342246,0.0033525950526,0.00576551237459,161.977736509,164.96288743,167.414748639,258.597357516,0.00405206496726
1327,866.663648128,325.911425471,2205.34698763,0.00989432758711,0.00853749044917,0.0116619688771,155.941931842,155.916132242,156.800626925,369.932886464,0.00962840491586
1540,1059.75577746,383.557568725,2347.35656243,0.00469862412207,0.00371424965948,0.00585946991603,175.509849889,174.502165587,178.219430817,247.240989892,0.00530524706826
1580,652.709307257,268.623611102,1978.42978087,0.015147514988,0.0131223187239,0.0175061677492,138.234194741,136.971780279,139.883379424,241.584009122,0.0150949335179
2113,1219.87575953,570.170647827,2069.33780977,0.00922335490907,0.0076151539405,0.0110932668967,125.551340889,126.323656868,127.669017225,544.441618624,0.00917828221985
2306,1031.14809481,387.920601541,2309.90171793,0.00955384772425,0.00743519778989,0.0124031752325,109.456476791,110.28143185,111.098845189,519.485463441,0.00893691032436
2401,572.997965451,207.622387872,1630.78249534,0.00471073577128,0.00383025269891,0.00571040296647,160.127725746,161.695146319,164.163821638,173.218976079,0.0049055232204
2670,1507.74776569,666.8075581,2696.94733374,0.00720799461323,0.00605744929457,0.00856647016696,156.267175092,155.339635958,158.235090014,617.721222896,0.00767666910268
2764,1502.68257348,669.714722534,2685.31898398,0.017314625498,0.0146027830641,0.0209262619574,99.3298240165,99.4085832012,100.549669397,661.682846522,0.0169689788079
2860,1315.96181164,495.07569061,2587.05856553,0.00888742393316,0.00750000181648,0.0106218490655,149.51544767,149.601925314,150.33950937,434.83942915,0.00888600128102
2866,45.0853170039,21.5928864376,114.959696006,0.0350464128475,0.0265071637746,0.044811178972,93.1708008786,91.998750628,95.9907759613,47.7118999262,0.0258602783772
2867,1149.5521068,419.771966257,2445.46989689,0.00768250061403,0.00637859903996,0.00938202365116,163.16913395,163.263793419,165.386242424,444.057660771,0.00717629975826
2953,1294.77074858,478.465075422,2553.31373762,0.0126370409351,0.0101341792664,0.015790429352,117.458493205,117.963304723,120.109527703,648.75246901,0.010982211177
3035,1174.58787669,454.780258651,2453.4262075,0.00346481976673,0.00264629944289,0.00454372967578,155.491020619,158.566500682,160.383776108,389.500162594,0.00394318421334
4370,283.756718366,116.40009061,1138.44183484,0.00665799871439,0.00511504474809,0.00889037125756,114.671737674,117.646819678,118.939532462,141.498679876,0.00694024279965
4600,726.222588805,272.927005621,1986.70787085,0.00623615650466,0.00513291543445,0.00760269107135,175.347463202,174.307386002,176.830562106,227.342957444,0.00650568332302
4671,965.224849234,338.291850226,2261.07805291,0.0169693582148,0.0132280363006,0.0214570257648,95.6266816149,94.490593845,95.6826832543,298.906353195,0.0189106796727
5036,652.197687139,197.725743344,2085.65201403,0.00985325434004,0.00788765979359,0.0124649982986,147.733743991,144.722761852,147.96886177,186.822944822,0.00970306016639
5158,431.203818469,192.941154767,1539.84773323,0.00987038530322,0.00836937751287,0.0115335273932,166.360675385,164.954420561,167.016479338,179.912902455,0.00989794141237
5429,1843.83276622,1025.10020041,2803.52845786,0.0079727886396,0.00675366424533,0.0094310811992,286.696357841,287.840023952,289.570342288,1399.52914634,0.007051941712
5524,1738.24454613,829.410283066,2830.18053713,0.0124570205822,0.0104882981415,0.0149242351399,132.895240651,131.279365479,133.876412402,1089.06267379,0.0112457904878
5626,2102.69640997,1243.32241065,2961.68606293,0.00927811119239,0.00802739179041,0.0108471004275,154.217369546,157.560975982,157.761690858,1847.93237938,0.00890593720014
5871,1204.63158738,478.98611519,2513.19699091,0.0128155209171,0.0108077196372,0.0153833473238,85.0755357624,83.0419767002,87.6492978076,347.710248164,0.013232837323
5993,1864.7289732,1038.27765439,2872.316644,0.0080921123766,0.00692833535301,0.00959636736679,146.85797612,147.12487029,149.290025266,1230.56049816,0.00779708939229
6433,1912.41043554,1104.17526084,2791.92394344,0.00795871597422,0.00668670725879,0.00958919064331,132.792297071,130.991932367,133.158947788,1796.19725364,0.00720243213723
7001,26.0423142902,14.3577345199,54.0697855067,0.012069810363,0.00924407573286,0.0153167830656,309.549632272,309.869738036,312.703853155,34.2066485568,0.00951591720583
7838,970.858446864,319.81915876,2393.65127032,0.00899227038105,0.00737783557523,0.0110095412435,138.510275946,136.983883428,140.391995749,227.85522437,0.00989167750707
8029,1494.03232073,685.99280165,2679.55278425,0.0149995115744,0.0129410769965,0.0174034955368,124.766754259,126.074072262,127.241823559,888.269160305,0.0132599919534
8442,594.349244832,246.612374336,1891.48313635,0.00780348967769,0.00637561937595,0.00981149854421,152.83109162,152.525030867,154.542324662,309.972546962,0.00736257287006
9321,733.021571546,264.396890415,2136.49209897,0.0114978690858,0.00981007771092,0.0135267223676,153.80467691,155.581840002,158.531901497,258.517506583,0.0116581295621
9330,2132.5222495,1238.51978842,2930.68385611,0.00673447338981,0.00520708253462,0.0087624381603,135.769700692,136.604255664,137.09350953,2842.99862937,0.00492156712363
9746,1458.119042,597.90122022,2688.01809714,0.00451067278902,0.00332135339687,0.00645932526422,141.760892196,142.464640085,142.78203186,860.076975841,0.00387908641171
9836,1009.84780454,444.763233326,2286.51239674,0.00781723828479,0.00670273036912,0.00917271728813,140.715059679,139.9611522,142.688250426,452.088697219,0.00797755481015
9837,590.323186126,205.590926546,2021.88257453,0.00930674090958,0.00749845364148,0.011721725576,141.683933775,138.346862174,143.687130958,209.662297952,0.00895633265332
9872,456.784647104,163.35928856,1756.16824428,0.0100041391409,0.00817621159121,0.0123047228459,133.993369571,132.420308532,136.607570469,186.014720987,0.00992434790245
10408,428.149952269,113.04098548,1797.90820869,0.0110622710994,0.00839094535416,0.0151993422766,114.647339196,117.397977092,120.437121334,186.920001815,0.0110831048952
10579,1586.37754661,709.562791909,2703.95793118,0.00574658827398,0.00471107080298,0.00693088550129,321.776341986,319.427637062,323.140352817,1037.82377688,0.0049672277487
11021,1770.14741893,874.888113503,2777.27226323,0.00718705354677,0.00586633620606,0.00872990778956,161.383858798,160.145035795,161.461894926,1042.85566454,0.00646905188169
11906,1439.52185759,650.60274376,2583.74143938,0.00743641491206,0.00585278475307,0.00980074690978,110.896041414,110.976944468,111.79564668,650.60274376,0.0074018866226
12291,1896.56782874,1018.52428641,2867.50867779,0.00711694211459,0.00600819103929,0.00852237066057,173.158935767,172.810424753,173.172677956,1288.9795848,0.00693470940223
12317,894.371771667,372.582793327,2188.19491642,0.00543118393899,0.00457263929449,0.00649108975896,170.949007927,167.122232621,171.321223385,286.39898576,0.00587274724814
12417,1587.74020425,692.92517863,2733.47799852,0.0146236975423,0.0123496609768,0.0173546210829,133.66813512,129.315430989,134.295764278,701.84313109,0.0138650111665
12529,973.616044568,368.712537489,2322.63063239,0.010188622082,0.00840144264563,0.0124119562373,137.593131873,135.979382423,138.598628489,282.476072013,0.0101193899498
13318,882.792495339,298.736842435,2259.00628802,0.00589425926915,0.00489341241501,0.00706158220409,163.031150898,162.464079855,163.567562357,260.463757049,0.0060630079994
14323,469.308080199,183.558256635,1725.00006288,0.0203453421764,0.0169123668784,0.0244236410208,77.8825104124,78.1497026611,80.7589864547,229.263936831,0.0192051687237
14706,1721.11219894,886.826506348,2760.7335433,0.00528764890392,0.00440974466916,0.00646105253024,352.361499173,351.403610266,353.615681584,1267.06471921,0.00452596254514
15195,1395.14766466,696.766924938,2607.23117069,0.0126002116498,0.0106008325206,0.0150486445624,136.038394031,136.569537001,138.608668106,702.775439055,0.0113174137856
16378,1799.1369858,873.40314676,2775.86501405,0.00583847960712,0.00451916922028,0.00769400727744,109.814716378,108.119023535,111.364928503,1395.52326522,0.00536380501086
16411,1488.27089449,865.135086642,1994.07325658,0.0230801490417,0.0198901172691,0.0272164328981,91.9073222321,83.9526249171,92.253916696,1491.71884271,0.0218300933334
16898,302.820584237,133.455492233,1325.99613693,0.0108893876214,0.0095061789201,0.0125168201662,166.298577227,167.950221597,169.19785982,141.218381106,0.0114708165981
17732,1788.28306465,942.249160159,2794.5392004,0.00682108601684,0.00568092371019,0.00820443002888,157.271590789,157.292715885,158.110058445,1207.0194974,0.00623236067725
18344,1891.48466606,1029.80242962,2853.61478842,0.0190030357878,0.0169158676258,0.0214362707993,124.794742596,123.906340691,126.208502062,1727.04732734,0.0186399077984
18562,2482.29040055,1680.38111105,3063.2440067,0.00680880979599,0.00588763330411,0.00794271737919,178.407607142,178.337764874,179.134414695,3244.86433287,0.00626260748765
